origin,destination,bookings,cancels,pax,revenue,cancel_rate,rev_per_pax,denom,num,anc_share
FCO,PMO,4303,219,6629,646201.39,0.05089472461073669,97.48097601448183,646201.39,59482.09,0.09204884254427245
PMO,FCO,4228,227,6510,638416.93,0.05368968779564806,98.06711674347159,638416.93,58867.03,0.09220781472696846
FCO,FRA,4363,220,6774,595005.14,0.05042402016960807,87.83660171242988,595005.14,60577.14,0.10180943983105759
FRA,FCO,4106,197,6368,550778.29,0.047978567949342424,86.49156564070353,550778.29,56433.29,0.10246099206270458
