dow,FCO→FRA,FCO→PMO,FRA→FCO,PMO→FCO
Monday,0.7229734573493842,0.714059241497369,0.6429349449304329,0.7220031941102849
Wednesday,0.7634432484065248,0.7310671542718556,0.739548267405177,0.6585231798403773
Thursday,0.7737321019946332,0.764982727674739,0.7407700435368922,0.7191974701202747
Friday,0.7450568958209366,0.717732869226565,0.6997552475014922,0.7044297506635433
Saturday,0.7726100643556628,0.7213267546756017,0.6716402179658044,0.7460269138735556
Sunday,0.732466914477039,0.7428076871642803,0.7216523994268628,0.7564627666382568
